,B23409,B00367,B13847,B15553,B10749,B03605,B17517,B05851,B12869,B20167,B18365,B21754,B21401,B21937,B21046,B18646,B11920,B20159,B07325,B21967
40704,15.55482,44.89538,13.87141,13.50025,32.11814,24.88882,11.95383,37.66502,13.83634,90.6956,63.51507,36.006,73.85997,15.01241,30.7852,15.5359,27.55288,105.59227,33.39903,42.20793
40705,15.55482,44.89538,13.87141,13.50025,32.11814,24.88882,11.95383,37.66502,13.83634,90.6956,63.51507,36.006,73.85997,15.01241,30.7852,15.5359,27.55288,105.59227,33.39903,42.20793
40706,15.55482,44.89538,13.87141,13.50025,32.11814,24.88882,11.95383,37.66502,13.83634,90.6956,63.51507,36.006,73.85997,15.01241,30.7852,15.5359,27.55288,105.59227,33.39903,42.20793
40707,15.55482,44.8446,13.85781,13.51197,32.16725,25.02109,12.033,37.67618,13.82505,91.98841,63.76784,36.00709,74.01264,15.03568,30.7852,15.47987,27.62017,106.23167,33.46366,42.26471
40708,15.70908,44.72609,14.0754,13.68775,32.49465,25.35177,12.17549,37.64125,13.93791,90.19836,64.50319,35.97452,75.13224,15.22188,31.32556,15.77405,27.62455,108.33255,33.81264,42.70004
40709,15.46483,44.87845,13.87141,13.44165,31.88896,24.60224,11.82717,37.64497,13.73477,92.08785,63.40017,35.97544,73.55462,14.96586,30.9353,15.49388,27.5034,105.77495,32.93372,42.07543
40710,15.41341,44.91231,13.87141,13.46509,31.93807,24.46997,11.77967,37.68735,13.68962,91.88896,63.33124,35.97652,73.87693,14.9775,30.99534,15.45185,27.445,105.13555,32.79154,41.64011
40711,15.45197,44.87845,13.953,13.50025,32.05266,24.64633,11.88749,37.67173,13.72348,92.1873,63.58401,35.97761,74.28406,15.04732,30.9353,15.43784,27.52144,105.77495,32.98542,41.46976
40712,15.45197,44.87845,13.953,13.50025,32.05266,24.64633,11.88749,37.67173,13.72348,92.1873,63.58401,35.97761,74.28406,15.04732,30.9353,15.43784,27.52144,105.77495,32.98542,41.46976
40713,15.45197,44.87845,13.953,13.50025,32.05266,24.64633,11.88749,37.67173,13.72348,92.1873,63.58401,35.97761,74.28406,15.04732,30.9353,15.43784,27.52144,105.77495,32.98542,41.46976
40714,15.47768,44.8446,14.0618,13.58228,32.15088,24.46997,11.85558,37.68293,13.73477,91.88896,63.79082,35.97869,74.87779,15.12878,31.16045,15.54991,27.46299,105.68361,32.93372,41.28049
40715,15.68337,44.83367,14.29299,13.7815,32.54376,25.10927,12.09493,37.68666,13.90405,90.09891,64.41127,35.97976,75.93802,15.33826,31.6858,15.98419,27.53032,106.14032,33.63169,42.07543
40716,15.61909,44.83367,14.18419,13.68775,32.36369,24.977,11.98323,37.69038,13.84763,90.39725,64.08956,35.9808,75.37822,15.23352,31.37059,15.92815,27.53451,106.14032,33.37318,41.86723
40717,15.56767,44.90196,14.22499,13.6526,32.23273,24.5361,11.87154,37.71343,13.82505,91.39172,63.8138,36.01553,74.9202,15.17533,31.52069,15.98419,27.47613,105.04421,32.97249,41.58332
40718,15.46483,44.97025,14.0618,13.46509,31.90533,24.49201,11.7758,37.71715,13.73477,93.08232,63.21634,36.01659,74.05505,15.00077,31.28053,15.85811,27.42711,105.59227,32.68814,41.64011
40719,15.46483,44.97025,14.0618,13.46509,31.90533,24.49201,11.7758,37.71715,13.73477,93.08232,63.21634,36.01659,74.05505,15.00077,31.28053,15.85811,27.42711,105.59227,32.68814,41.64011
40720,15.46483,44.97025,14.0618,13.46509,31.90533,24.49201,11.7758,37.71715,13.73477,93.08232,63.21634,36.01659,74.05505,15.00077,31.28053,15.85811,27.42711,105.59227,32.68814,41.64011
